What is the scientific method?	The scientific method is a systematic approach to understanding natural phenomena through observation, hypothesis formation, experimentation, and revision. Key steps: observe a phenomenon, form a testable hypothesis, design controlled experiments, collect and analyze data, draw conclusions, and submit findings for peer review. The method is self-correcting — failed hypotheses lead to refined understanding.	vocabulary-core
Why do nations trade with each other?	International trade allows nations to specialize in producing goods where they have comparative advantage — the ability to produce at lower opportunity cost. This specialization increases total output and allows access to goods a nation cannot efficiently produce domestically. Trade also promotes competition, technology transfer, and economic interdependence that can reduce conflict.	vocabulary-core
What is the rule of law?	The rule of law means that legal principles, fairly enacted and impartially enforced, govern society rather than arbitrary power of individuals. Key elements: laws apply equally to all persons including officials, legal processes are transparent and accessible, rights are protected, and judicial independence ensures fair adjudication. It is the foundation of stable governance and economic confidence.	vocabulary-core
How does DNA store information?	DNA stores genetic information in sequences of four nucleotide bases (adenine, thymine, guanine, cytosine) arranged along a double-helix backbone. Three-base codons specify amino acids; sequences of codons form genes that encode proteins. The entire human genome contains approximately 3 billion base pairs encoding roughly 20,000–25,000 genes, plus regulatory and structural sequences.	vocabulary-core
What makes a good leader?	Effective leadership combines vision (clear direction), competence (domain knowledge), integrity (ethical consistency), communication (clarity and listening), and adaptability (responding to changing conditions). Good leaders empower others, accept accountability, make decisions under uncertainty, and maintain composure. The balance of these qualities varies by context — crisis demands decisiveness, while stable periods reward consensus-building.	vocabulary-core
What is the purpose of government?	Government exists to provide collective goods that individuals cannot efficiently provide alone: security (defense, law enforcement), infrastructure (roads, utilities), justice (courts, dispute resolution), regulation (safety standards, fair markets), and social insurance (education, healthcare, pensions). Debates center on the proper scope — where collective provision ends and individual liberty begins.	vocabulary-core
How does gravity work?	In Newtonian mechanics, gravity is a force of attraction between any two masses, proportional to their product and inversely proportional to the square of their distance. Einstein's general relativity reframes gravity as the curvature of spacetime caused by mass and energy — objects follow geodesics (straightest possible paths) through curved spacetime, which we perceive as gravitational attraction.	vocabulary-core
What is consciousness?	Consciousness remains one of the deepest unsolved problems in philosophy and neuroscience. It refers to subjective experience — the qualitative "what it is like" to perceive, think, and feel. Theories range from emergentism (consciousness arises from complex neural computation) to panpsychism (consciousness is fundamental to reality) to integrated information theory (consciousness corresponds to integrated information in a system).	vocabulary-core
Why does music affect emotions?	Music engages multiple brain systems simultaneously — auditory processing, motor planning, memory, and emotional regulation. Rhythmic patterns entrain neural oscillations; harmonic progressions create and resolve tension; familiar melodies trigger autobiographical memory. The reward system (dopamine release) responds to musical anticipation and resolution. Cultural learning shapes which patterns feel consonant, dissonant, joyful, or melancholy.	vocabulary-core
What is a just society?	Conceptions of justice vary across philosophical traditions. Rawlsian justice prioritizes fairness — principles chosen behind a "veil of ignorance" would ensure equal basic liberties and arrange inequalities to benefit the least advantaged. Utilitarian justice maximizes aggregate well-being. Libertarian justice emphasizes individual rights and voluntary exchange. Most functioning societies blend these approaches, seeking balance between freedom, equality, and collective welfare.	vocabulary-core
How do computers store data?	Computers store data as binary digits (bits: 0 or 1) in physical media. Hard drives use magnetized regions on spinning platters. SSDs store charge in floating-gate transistors. RAM uses capacitors (DRAM) or flip-flops (SRAM) for volatile storage. At higher levels, bytes (8 bits) encode characters, numbers, and instructions. File systems organize bytes into named, structured collections.	vocabulary-core
What is the relationship between language and thought?	The Sapir-Whorf hypothesis (linguistic relativity) proposes that language shapes thought — speakers of different languages may perceive and categorize reality differently. Strong versions (language determines thought) are largely rejected; weaker versions (language influences habitual thought) have empirical support. Language provides tools for abstraction, categorization, and communication that extend cognitive capability beyond what non-linguistic thought alone achieves.	vocabulary-core
How do ecosystems maintain balance?	Ecosystems maintain dynamic equilibrium through feedback loops. Predator-prey relationships regulate population sizes. Nutrient cycling (decomposition, nitrogen fixation) sustains productivity. Biodiversity provides redundancy — multiple species filling similar roles ensures function persists if one declines. Disturbances (fire, flood) create succession opportunities. Human disruption of these feedback mechanisms (habitat loss, pollution, climate change) can push ecosystems past tipping points into degraded states.	vocabulary-core
What is the difference between ethics and morals?	Morals are personal principles of right and wrong, often shaped by culture, religion, and upbringing. Ethics is the systematic philosophical study of moral principles — examining their foundations, consistency, and implications. Applied ethics addresses specific domains (medical ethics, business ethics). In practice, the terms overlap: "moral philosophy" and "ethics" are often synonymous in academic contexts.	vocabulary-core
How does memory work in the brain?	Memory involves encoding (converting experience to neural representation), consolidation (stabilizing representations over time), and retrieval (reactivating stored patterns). Short-term/working memory maintains information temporarily via sustained neural activity. Long-term memory involves structural changes at synapses (long-term potentiation). The hippocampus is critical for forming new declarative memories; procedural memories depend more on the basal ganglia and cerebellum.	vocabulary-core
What is the value of art?	Art serves multiple functions: aesthetic experience (beauty, sublimity), emotional expression and catharsis, cultural documentation, social commentary, cognitive challenge (seeing reality from new perspectives), and communal bonding (shared cultural reference). Its value is partly intrinsic (the experience itself is worthwhile) and partly instrumental (art develops empathy, creativity, and critical perception that benefit society broadly).	vocabulary-core
Why is biodiversity important?	Biodiversity — the variety of life at genetic, species, and ecosystem levels — provides ecosystem services essential to human survival: pollination, water purification, soil fertility, disease regulation, and climate stability. Diverse systems are more resilient to disturbance. Genetic diversity provides raw material for adaptation. Beyond utility, many ethical frameworks recognize intrinsic value in the existence of diverse life forms.	vocabulary-core
What is inflation's effect on savings?	Inflation erodes the purchasing power of savings held in nominal terms (cash, bank accounts, fixed-rate bonds). If inflation exceeds the interest rate earned on savings, real value declines — the money buys less over time. This "inflation tax" incentivizes investment in assets that appreciate (equities, real estate, inflation-indexed bonds) but penalizes conservative savers and those on fixed incomes.	vocabulary-core
How do courts interpret the law?	Judicial interpretation uses several approaches: textualism (literal meaning of statutory language), purposivism (legislative intent behind the law), originalism (constitutional meaning at time of ratification), and living constitutionalism (evolving interpretation reflecting contemporary values). Courts also rely on precedent (stare decisis), analogical reasoning, and canons of construction. The balance between these methods reflects deeper disagreements about the judicial role in democratic governance.	vocabulary-core
What makes a scientific theory strong?	A strong scientific theory has explanatory power (accounts for many observations), predictive accuracy (makes testable predictions that are confirmed), parsimony (achieves explanation with minimal assumptions), internal consistency (no self-contradiction), falsifiability (could in principle be proven wrong), and fertility (generates new research questions). The strongest theories unify previously separate domains of understanding.	vocabulary-core
